Agents,Year,Size
0,0,2
1,0,3
2,0,2
3,0,2
4,0,3
5,0,2
6,0,3
7,0,3
8,0,2
9,0,2
10,0,2
11,0,2
12,0,3
13,0,2
14,0,2
15,0,2
16,0,2
17,0,2
18,0,2
19,0,2
20,0,2
21,0,3
22,0,2
23,0,3
24,0,2
25,0,3
26,0,2
27,0,2
28,0,2
29,0,3
30,0,2
31,0,2
32,0,2
33,0,3
34,0,2
35,0,3
36,0,2
37,0,3
38,0,2
39,0,2
40,0,2
41,0,2
42,0,2
43,0,3
44,0,2
45,0,2
46,0,2
47,0,3
0,1,2
1,1,4
2,1,2
3,1,2
4,1,4
5,1,2
6,1,4
7,1,3
8,1,3
9,1,2
10,1,2
11,1,2
12,1,4
13,1,2
14,1,2
15,1,2
16,1,2
17,1,2
18,1,2
19,1,2
20,1,2
21,1,3
22,1,3
23,1,3
24,1,2
25,1,3
26,1,2
27,1,2
28,1,2
29,1,4
30,1,2
31,1,2
32,1,2
33,1,3
34,1,2
35,1,4
36,1,2
37,1,3
38,1,3
39,1,2
40,1,2
41,1,2
42,1,2
43,1,4
44,1,3
45,1,2
46,1,2
47,1,4
0,2,2
1,2,4
2,2,2
3,2,2
4,2,5
5,2,2
6,2,4
7,2,3
8,2,4
9,2,2
10,2,2
11,2,2
12,2,5
13,2,2
14,2,2
15,2,3
16,2,2
17,2,3
18,2,2
19,2,2
20,2,3
21,2,3
22,2,3
23,2,3
24,2,3
25,2,4
26,2,2
27,2,3
28,2,2
29,2,4
30,2,2
31,2,2
32,2,2
33,2,3
34,2,3
35,2,5
36,2,2
37,2,3
38,2,3
39,2,2
40,2,2
41,2,2
42,2,2
43,2,4
44,2,3
45,2,2
46,2,2
47,2,4
0,3,3
1,3,4
2,3,2
3,3,2
4,3,5
5,3,2
6,3,4
7,3,3
8,3,5
9,3,2
10,3,3
11,3,2
12,3,6
13,3,2
14,3,2
15,3,3
16,3,2
17,3,4
18,3,2
19,3,2
20,3,3
21,3,3
22,3,3
23,3,3
24,3,4
25,3,4
26,3,2
27,3,4
28,3,2
29,3,4
30,3,2
31,3,3
32,3,2
33,3,4
34,3,3
35,3,5
36,3,2
37,3,3
38,3,3
39,3,2
40,3,2
41,3,2
42,3,2
43,3,4
44,3,3
45,3,2
46,3,2
47,3,4
0,4,3
1,4,4
2,4,2
3,4,2
4,4,5
5,4,2
6,4,5
7,4,3
8,4,5
9,4,3
10,4,3
11,4,2
12,4,6
13,4,2
14,4,2
15,4,3
16,4,2
17,4,4
18,4,2
19,4,2
20,4,4
21,4,3
22,4,3
23,4,3
24,4,4
25,4,4
26,4,2
27,4,4
28,4,2
29,4,4
30,4,2
31,4,4
32,4,2
33,4,5
34,4,3
35,4,5
36,4,2
37,4,3
38,4,3
39,4,2
40,4,2
41,4,2
42,4,2
43,4,4
44,4,3
45,4,2
46,4,2
47,4,4
0,5,3
1,5,4
2,5,2
3,5,2
4,5,5
5,5,2
6,5,5
7,5,4
8,5,5
9,5,4
10,5,3
11,5,2
12,5,6
13,5,2
14,5,2
15,5,3
16,5,2
17,5,4
18,5,2
19,5,2
20,5,4
21,5,3
22,5,3
23,5,3
24,5,4
25,5,4
26,5,2
27,5,4
28,5,2
29,5,4
30,5,2
31,5,4
32,5,2
33,5,5
34,5,3
35,5,5
36,5,3
37,5,3
38,5,3
39,5,2
40,5,2
41,5,3
42,5,2
43,5,4
44,5,3
45,5,2
46,5,2
47,5,4
0,6,3
1,6,4
2,6,2
3,6,2
4,6,5
5,6,2
6,6,5
7,6,4
8,6,5
9,6,5
10,6,3
11,6,2
12,6,6
13,6,2
14,6,2
15,6,3
16,6,2
17,6,4
18,6,2
19,6,2
20,6,4
21,6,3
22,6,3
23,6,3
24,6,4
25,6,4
26,6,2
27,6,4
28,6,2
29,6,4
30,6,2
31,6,5
32,6,2
33,6,5
34,6,3
35,6,5
36,6,4
37,6,3
38,6,3
39,6,2
40,6,2
41,6,4
